date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2012/11/6,2292.206,3380.061,3320.092,3051.124,2087.55,1.4823,,1.2324,2.3747,1.6528
2012/11/7,2287.505,3380.404,3311.377,3048.252,2086.42,1.4819,,1.2327,2.3746,1.6518
2012/11/8,2245.405,3293.703,3267.224,2973.085,2048.81,1.4617,,1.2219,2.3158,1.6234
2012/11/9,2240.924,3284.724,3262.753,2962.189,2044.45,1.46,,1.2211,2.3094,1.6203
2012/11/12,2251.848,3312.961,3290.751,2974.718,2054.9,1.4656,,1.2269,2.3213,1.628
2012/11/13,2212.44,3245.894,3242.148,2906.57,2021.32,1.4462,,1.2147,2.2688,1.6029
2012/11/14,2223.11,3248.079,3247.742,2910.598,2028.47,1.4513,,1.2169,2.2751,1.6076
2012/11/15,2193.623,3185.239,3213.371,2863.337,2001.68,1.434,,1.2048,2.2426,1.5856
2012/11/16,2177.24,3165.493,3195.058,2847.247,1985.44,1.4229,,1.1961,2.229,1.574
2012/11/19,2174.985,3183.365,3198.199,2858.115,1986.99,1.4221,,1.1971,2.2385,1.5757
2012/11/20,2164.881,3174.418,3188.482,2851.87,1979.87,1.4159,,1.1929,2.2339,1.5696
2012/11/21,2194.896,3208.17,3227.72,2874.865,2001.31,1.4303,,1.2018,2.2545,1.5857
2012/11/22,2177.546,3169.891,3215.486,2840.565,1984.53,1.421,,1.1973,2.2267,1.5728
2012/11/23,2192.676,3177.759,3239.348,2842.2,1995.25,1.4292,,1.2034,2.2276,1.5805
2012/11/26,2175.599,3137.873,3229.081,2794.885,1980.47,1.422,,1.2021,2.1864,1.5693
2012/11/27,2150.638,3005.274,3220.736,2691.992,1948.17,1.412,,1.2011,2.112,1.5434
2012/11/28,2129.161,2930.065,3208.778,2631.953,1925.32,1.4043,,1.2001,2.0752,1.527
2012/11/29,2115.676,2892.591,3199.701,2604.267,1913.6,1.398,,1.1974,2.058,1.5175
2012/11/30,2139.661,2930.446,3239.051,2643.141,1932.54,1.4078,,1.2036,2.0892,1.5314
2012/12/3,2108.85,2850.824,3228.089,2588.437,1905.13,1.3958,,1.2022,2.0534,1.5116
2012/12/4,2131.473,2887.792,3255.413,2626.563,1923.07,1.4056,,1.2077,2.0771,1.5247
2012/12/5,2207.878,2999.126,3366.035,2732.611,1981.96,1.4448,,1.2355,2.1642,1.5713
2012/12/6,2203.602,2998.71,3378.008,2730.437,1979.19,1.4431,,1.2378,2.157,1.5697
2012/12/7,2246.757,3071.861,3434.783,2792.904,2013.55,1.4636,,1.2505,2.2077,1.5953
2012/12/10,2271.046,3128.4,3473.029,2836.224,2036.12,1.4773,,1.2609,2.2414,1.6143
2012/12/11,2258.5,3104.629,3450.552,2819.673,2025.96,1.472,,1.2567,2.2291,1.6068
2012/12/12,2267.767,3104.935,3469.98,2821.297,2032.36,1.4781,,1.263,2.2277,1.6116
2012/12/13,2242.635,3061.622,3442.647,2790.42,2010.41,1.4639,,1.2535,2.2087,1.5944
2012/12/14,2355.865,3183.753,3636.452,2908.09,2095.63,1.5285,,1.3069,2.3052,1.6627
2012/12/17,2366.7,3201.255,3642.942,2906.878,2106.23,1.5331,,1.3072,2.3043,1.6696
2012/12/18,2368.12,3192.983,3645.215,2900.208,2105.87,1.5358,,1.3102,2.3034,1.6699
2012/12/19,2371.109,3205.867,3641.667,2916.651,2109.19,1.5362,,1.3081,2.322,1.6724
2012/12/20,2384.816,3215.954,3655.093,2929.26,2116.01,1.5405,,1.3083,2.3343,1.678
2012/12/21,2372.002,3218.082,3629.96,2926.727,2105.16,1.5279,,1.2947,2.3338,1.669
2012/12/24,2381.217,3244.103,3658.435,2951.8,2111.62,1.5311,,1.2991,2.3501,1.6754
2012/12/25,2448.395,3318.387,3784.936,3023.793,2164.48,1.5715,,1.3359,2.4069,1.718
2012/12/26,2457.619,3373.746,3781.303,3068.855,2176.33,1.5729,,1.3323,2.4399,1.7276
2012/12/27,2444.594,3340.744,3752.966,3051.27,2163.95,1.5643,,1.3237,2.4347,1.7153
2012/12/28,2480.049,3378.979,3811.228,3092.323,2190.89,1.5829,,1.338,2.4697,1.735
