id,date,business_name,pzdm,name,settlement,opening,highest_price,lowest_price,today_close,clearing,ups_downs_1,ups_downs_2,turnover_hand,empty_plate,increase_decrease,turnover_volume,delivery_settlement_price
181021,20140725,F4,IF,IF1503,2265.4,2272,2312.4,2270.8,2311.8,2299.6,46.4,34.2,1684,1037,0,1155012000,0
966990,20140725,F4,IF,IF,0,2244.8,2282.2,2241.4,2278,0,0,0,660120,168928,0,0,0
180611,20140728,F4,IF,IF1408,2264.2,2276,2357.6,2275,2336.4,2335.4,72.2,71.2,891896,109968,0,6.21E+11,0
180612,20140728,F4,IF,IF1409,2269.2,2281,2361,2280,2341.2,2341.4,72,72.2,80357,52303,0,56072179620,0
180613,20140728,F4,IF,IF1412,2284.4,2297,2376.8,2296,2356.6,2355.8,72.2,71.4,14668,13621,0,10295622120,0
180614,20140728,F4,IF,IF1503,2299.6,2313,2399.4,2312.6,2376.6,2375.2,77,75.6,4047,2047,0,2868043680,0
967031,20140728,F4,IF,IF,0,2279.2,2359.8,2278.6,2339.8,0,0,0,990968,177939,0,0,0
180204,20140729,F4,IF,IF1408,2335.4,2340.4,2359.6,2329.2,2335.4,2339,0,3.6,687886,108142,0,4.83E+11,0
180205,20140729,F4,IF,IF1409,2341.4,2345.4,2364.6,2334,2341.8,2344.8,0.4,3.4,51061,52570,0,35935051980,0
180206,20140729,F4,IF,IF1412,2355.8,2357.2,2376.6,2349.6,2355.2,2358.4,-0.6,2.6,7851,13806,0,5558649180,0
180207,20140729,F4,IF,IF1503,2375.2,2380.4,2392.8,2369,2371.2,2375,-4,-0.2,2015,2363,0,1437518760,0
967072,20140729,F4,IF,IF,0,2343.6,2362,2332.6,2339.4,0,0,0,748813,176881,0,0,0
179797,20140730,F4,IF,IF1408,2339,2333,2348.4,2325,2328.8,2331.8,-10.2,-7.2,713562,108288,0,5.00E+11,0
179798,20140730,F4,IF,IF1409,2344.8,2330,2353.8,2330,2335.8,2338.6,-9,-6.2,49825,54435,0,34998057480,0
